測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2020,14108020,108,HUM ,%     , 4, 1,  88,  91,  92,  93,  93,  95,  97,  97,  98,  97,  97,  97,  97,  97,  98,  98,  98,  98,  98,  98,  98,  98,  98,  98
2020,14108020,108,HUM ,%     , 4, 2,  98,  98,  98,  98,  97,  83,  65,  60,  49,  46,  45,  34,  46,  38,  34,  40,  43,  45,  45,  46,  47,  49,  49,  48
2020,14108020,108,HUM ,%     , 4, 3,  47,  47,  48,  51,  51,  48,  45,  42,  44,  39,  38,  40,  35,  42,  50,  59,  66,  70,  73,  76,  78,  79,  80,  82
2020,14108020,108,HUM ,%     , 4, 4,  83,  82,  82,  82,  79,  80,  75,  69,  49,  47,  44,  52,  50,  51,  54,  58,  64,  78,  74,  73,  73,  74,  78,  70
2020,14108020,108,HUM ,%     , 4, 5,  74,  75,  80,  79,  74,  70,  71,  74,  76,  71,  67,  64,  67,  74,  89,  83,  76,  77,  82,  86,  88,  90,  86,  65
2020,14108020,108,HUM ,%     , 4, 6,  55,  54,  52,  51,  55,  56,  54,  53,  48,  48,  48,  47,  50,  41,  42,  47,  61,  69,  76,  78,  80,  51,  51,  54
2020,14108020,108,HUM ,%     , 4, 7,  55,  56,  51,  53,  55,  51,  45,  40,  40,  45,  46,  46,  45,  52,  47,  47,  55,  64,  68,  71,  77,  82,  85,  86
2020,14108020,108,HUM ,%     , 4, 8,  86,  88,  83,  81,  83,  84,  78,  70,  63,  60,  59,  61,  45,  47,  46,  52,  57,  60,  63,  57,  62,  65,  68,  66
2020,14108020,108,HUM ,%     , 4, 9,  65,  70,  72,  75,  74,  60,  61,  70,  68,  58,  44,  44,  42,  52,  56,  59,  63,  74,  77,  79,  73,  81,  82,  82
2020,14108020,108,HUM ,%     , 4,10,  81,  79,  82,  84,  85,  83,  80,  74,  64,  46,  40,  42,  36,  38,  37,  34,  35,  39,  40,  42,  44,  48,  50,  51
2020,14108020,108,HUM ,%     , 4,11,  46,  44,  42,  41,  43,  47,  45,  41,  45,  44,  46,  45,  40,  39,  41,  45,  57,  62,  67,  70,  95,  96,  92,  96
2020,14108020,108,HUM ,%     , 4,12,  97,  96,  97,  97,  97,  97,  97,  97,  97,  91,  80,  74,  67,  72,  73,  74,  77,  89,  91,  92,  91,  93,  93,  96
2020,14108020,108,HUM ,%     , 4,13,  97,  97,  97,  98,  98,  98,  98,  98,  98,  98,  98,  98,  98,  98,  98,  98,  97,  97,  98,  98,  98,  97,  97,  96
2020,14108020,108,HUM ,%     , 4,14,  96,  96,  95,  96,  96,  95,  82,  69,  57,  51,  48,  38,  38,  38,  35,  38,  39,  44,  44,  44,  43,  48,  48,  51
2020,14108020,108,HUM ,%     , 4,15,  53,  56,  57,  61,  62,  67,  67,  70,  60,  54,  52,  46,  46,  44,  52,  51,  61,  62,  65,  62,  59,  53,  48,  54
2020,14108020,108,HUM ,%     , 4,16,  56,  55,  57,  57,  77,  85,  82,  80,  75,  71,  68,  66,  64,  63,  65,  70,  72,  72,  76,  75,  79,  78,  76,  76
2020,14108020,108,HUM ,%     , 4,17,  78,  76,  73,  72,  72,  68,  68,  68,  64,  59,  60,  59,  59,  62,  63,  70,  72,  75,  77,  81,  86,  85,  95,  97
2020,14108020,108,HUM ,%     , 4,18,  97,  97,  97,  97,  97,  97,  98,  98,  98,  98,  98,  98,  98,  97,  98,  97,  90,  85,  88,  88,  82,  75,  72,  73
2020,14108020,108,HUM ,%     , 4,19,  75,  78,  84,  85,  84,  87,  81,  62,  53,  57,  51,  46,  39,  47,  55,  48,  66,  69,  69,  72,  71,  74,  78,  81
2020,14108020,108,HUM ,%     , 4,20,  82,  83,  84,  88,  94,  95,  95,  95,  97,  97,  97,  97,  97,  98,  98,  98,  98,  98,  98,  97,  97,  97,  96,  96
2020,14108020,108,HUM ,%     , 4,21,  95,  95,  96,  95,  97,  96,  96,  93,  94,  80,  79,  80,  78,  72,  76,  76,  72,  69,  66,  66,  69,  56,  62,  60
2020,14108020,108,HUM ,%     , 4,22,  60,  82,  91,  90,  88,  85,  81,  72,  72,  69,  70,  69,  66,  60,  60,  55,  62,  74,  76,  82,  81,  84,  85,  82
2020,14108020,108,HUM ,%     , 4,23,  80,  70,  61,  58,  72,  79,  64,  56,  57,  50,  51,  56,  54,  51,  39,  49,  64,  59,  64,  70,  75,  61,  57,  56
2020,14108020,108,HUM ,%     , 4,24,  55,  53,  52,  54,  52,  50,  52,  46,  49,  44,  42,  54,  42,  37,  46,  45,  47,  53,  52,  59,  70,  74,  74,  78
2020,14108020,108,HUM ,%     , 4,25,  81,  84,  88,  88,  89,  87,  76,  71,  56,  56,  49,  44,  45,  49,  49,  57,  56,  62,  43,  51,  58,  56,  59,  60
2020,14108020,108,HUM ,%     , 4,26,  64,  67,  68,  66,  69,  64,  60,  60,  52,  44,  42,  42,  41,  45,  47,  59,  65,  67,  68,  66,  66,  69,  70,  72
2020,14108020,108,HUM ,%     , 4,27,  67,  70,  74,  79,  78,  79,  75,  73,  76,  70,  69,  67,  65,  63,  76,  87,  93,  86,  96,  96,  95,  92,  94,  96
2020,14108020,108,HUM ,%     , 4,28,  90,  86,  84,  87,  88,  87,  85,  84,  82,  75,  75,  77,  68,  46,  64,  62,  63,  71,  72,  73,  82,  84,  84,  86
2020,14108020,108,HUM ,%     , 4,29,  82,  88,  86,  85,  84,  82,  80,  65,  66,  60,  55,  51,  55,  54,  45,  44,  51,  57,  67,  73,  75,  79,  85,  78
2020,14108020,108,HUM ,%     , 4,30,  73,  77,  72,  75,  81,  81,  74,  67,  63,  66,  65,  64,  63,  52,  46,  65,  73,  76,  79,  72,  74,  72,  75,  79
2020,14108020,108,HUM ,%     , 4,31,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998
2020,14108020,108,HUM ,%     , 5, 1,  79,  76,  75,  75,  74,  72,  69,  66,  64,  57,  62,  58,  58,  59,  64,  70,  71,  73,  78,  78,  78,  82,  85,  87
2020,14108020,108,HUM ,%     , 5, 2,  87,  86,  86,  85,  86,  87,  81,  77,  66,  57,  56,  58,  55,  55,  57,  61,  61,  67,  72,  73,  71,  76,  79,  81
2020,14108020,108,HUM ,%     , 5, 3,  84,  84,  85,  89,  86,  85,  80,  73,  67,  66,  62,  63,  63,  64,  67,  68,  70,  71,  74,  79,  81,  81,  82,  85
2020,14108020,108,HUM ,%     , 5, 4,  84,  84,  89,  93,  93,  96,  96,  96,  97,  97,  96,  95,  95,  95,  96,  96,  96,  96,  96,  97,  97,  97,  97,  97
2020,14108020,108,HUM ,%     , 5, 5,  97,  97,  97,  97,  97,  97,  97,  95,  86,  79,  76,  72,  64,  74,  68,  69,  71,  82,  85,  88,  85,  84,  80,  83
2020,14108020,108,HUM ,%     , 5, 6,  84,  80,  81,  80,  82,  86,  85,  81,  83,  86,  88,  97,  97,  96,  96,  96,  96,  95,  97,  97,  97,  98,  97,  98
2020,14108020,108,HUM ,%     , 5, 7,  98,  97,  97,  96,  81,  69,  63,  59,  50,  41,  39,  36,  47,  35,  31,  33,  60,  69,  72,  72,  73,  78,  75,  77
2020,14108020,108,HUM ,%     , 5, 8,  78,  62,  50,  54,  61,  58,  52,  50,  45,  52,  47,  36,  35,  42,  51,  50,  50,  60,  72,  74,  75,  75,  78,  80
2020,14108020,108,HUM ,%     , 5, 9,  80,  79,  75,  81,  77,  76,  67,  68,  67,  59,  65,  61,  64,  70,  68,  71,  75,  74,  73,  76,  78,  80,  78,  80
2020,14108020,108,HUM ,%     , 5,10,  80,  84,  89,  91,  91,  87,  84,  85,  95,  97,  97,  97,  83,  87,  91,  91,  92,  91,  92,  94,  94,  94,  93,  92
2020,14108020,108,HUM ,%     , 5,11,  96,  96,  96,  95,  97,  96,  90,  87,  80,  77,  80,  81,  75,  71,  68,  67,  75,  81,  85,  88,  90,  88,  91,  91
2020,14108020,108,HUM ,%     , 5,12,  94,  94,  94,  95,  96,  96,  96,  96,  93,  79,  77,  82,  78,  71,  65,  72,  82,  86,  86,  83,  76,  78,  77,  80
2020,14108020,108,HUM ,%     , 5,13,  86,  92,  92,  92,  94,  87,  80,  67,  58,  53,  47,  41,  40,  35,  38,  41,  40,  68,  71,  68,  48,  45,  37,  35
2020,14108020,108,HUM ,%     , 5,14,  38,  35,  36,  39,  52,  62,  44,  51,  38,  46,  45,  46,  42,  44,  47,  49,  52,  58,  54,  56,  59,  55,  62,  63
2020,14108020,108,HUM ,%     , 5,15,  68,  63,  70,  71,  72,  75,  64,  57,  54,  49,  53,  52,  55,  48,  59,  64,  66,  71,  70,  72,  67,  54,  61,  73
2020,14108020,108,HUM ,%     , 5,16,  77,  80,  83,  84,  86,  89,  90,  93,  96,  96,  96,  97,  97,  97,  97,  97,  97,  97,  97,  97,  97,  97,  97,  97
2020,14108020,108,HUM ,%     , 5,17,  97,  97,  97,  97,  97,  97,  95,  92,  84,  87,  78,  66,  68,  65,  67,  67,  74,  77,  81,  80,  79,  80,  87,  85
2020,14108020,108,HUM ,%     , 5,18,  94,  92,  90,  91,  92,  90,  90,  89,  89,  95,  95,  94,  90,  93,  90,  89,  91,  93,  95,  96,  96,  96,  97,  97
2020,14108020,108,HUM ,%     , 5,19,  97,  97,  97,  97,  97,  98,  98,  98,  98,  97,  97,  97,  97,  96,  96,  95,  93,  85,  92,  96,  94,  96,  97,  97
2020,14108020,108,HUM ,%     , 5,20,  97,  97,  97,  96,  96,  96,  96,  95,  91,  86,  80,  79,  79,  79,  83,  86,  86,  81,  83,  86,  81,  83,  85,  95
2020,14108020,108,HUM ,%     , 5,21,  90,  89,  89,  94,  94,  92,  92,  91,  88,  88,  89,  89,  89,  91,  88,  90,  88,  90,  95,  97,  97,  97,  97,  97
2020,14108020,108,HUM ,%     , 5,22,  97,  97,  96,  93,  91,  92,  92,  91,  88,  83,  84,  86,  85,  85,  87,  87,  85,  84,  88,  90,  94,  95,  94,  95
2020,14108020,108,HUM ,%     , 5,23,  94,  95,  95,  94,  93,  92,  93,  88,  90,  96,  96,  96,  91,  83,  83,  76,  80,  84,  89,  92,  91,  91,  91,  90
2020,14108020,108,HUM ,%     , 5,24,  91,  91,  92,  92,  94,  95,  89,  82,  77,  74,  66,  72,  72,  68,  62,  66,  73,  77,  82,  85,  88,  90,  86,  87
2020,14108020,108,HUM ,%     , 5,25,  87,  86,  90,  93,  93,  89,  80,  75,  72,  71,  71,  72,  65,  69,  72,  68,  72,  75,  79,  84,  86,  89,  89,  88
2020,14108020,108,HUM ,%     , 5,26,  90,  92,  92,  93,  92,  90,  91,  90,  89,  82,  80,  80,  79,  83,  86,  86,  87,  89,  89,  93,  95,  96,  95,  92
2020,14108020,108,HUM ,%     , 5,27,  95,  96,  94,  92,  94,  93,  90,  86,  80,  84,  83,  85,  78,  79,  74,  63,  66,  72,  78,  77,  79,  84,  89,  82
2020,14108020,108,HUM ,%     , 5,28,  80,  74,  75,  68,  83,  87,  79,  81,  76,  72,  73,  66,  64,  66,  60,  62,  59,  61,  60,  72,  68,  69,  65,  70
2020,14108020,108,HUM ,%     , 5,29,  70,  73,  76,  77,  83,  82,  71,  66,  68,  69,  62,  59,  54,  56,  56,  72,  71,  77,  81,  87,  89,  92,  93,  95
2020,14108020,108,HUM ,%     , 5,30,  95,  93,  95,  89,  83,  84,  77,  76,  71,  74,  72,  60,  62,  59,  61,  69,  73,  75,  81,  87,  90,  90,  89,  89
2020,14108020,108,HUM ,%     , 5,31,  88,  90,  93,  93,  94,  93,  89,  88,  84,  81,  82,  78,  77,  78,  79,  93,  73,  83,  83,  81,  79,  78,  81,  87
2020,14108020,108,HUM ,%     , 6, 1,  88,  90,  96,  97,  97,  97,  97,  97,  97,  97,  96,  95,  96,  97,  97,  96,  96,  96,  97,  97,  97,  97,  97,  97
2020,14108020,108,HUM ,%     , 6, 2,  97,  97,  97,  97,  97,  97,  97,  96,  96,  95,  95,  77,  75,  71,  71,  73,  79,  83,  88,  93,  91,  90,  88,  84
2020,14108020,108,HUM ,%     , 6, 3,  89,  88,  89,  92,  89,  89,  87,  81,  83,  80,  84,  83,  74,  70,  74,  80,  78,  82,  86,  86,  87,  86,  87,  89
2020,14108020,108,HUM ,%     , 6, 4,  86,  88,  90,  93,  92,  95,  92,  93,  91,  88,  84,  81,  77,  74,  68,  65,  73,  78,  86,  88,  92,  93,  92,  89
2020,14108020,108,HUM ,%     , 6, 5,  89,  87,  88,  93,  94,  86,  80,  77,  72,  74,  74,  62,  61,  61,  60,  66,  76,  82,  86,  86,  88,  84,  81,  78
2020,14108020,108,HUM ,%     , 6, 6,  82,  83,  84,  84,  86,  86,  87,  81,  84,  81,  77,  78,  80,  79,  82,  84,  83,  80,  84,  89,  91,  87,  87,  85
2020,14108020,108,HUM ,%     , 6, 7,  89,  90,  85,  83,  76,  74,  67,  61,  63,  67,  72,  64,  62,  61,  61,  62,  69,  70,  78,  77,  81,  84,  86,  87
2020,14108020,108,HUM ,%     , 6, 8,  89,  90,  89,  90,  90,  90,  87,  88,  82,  78,  75,  76,  77,  63,  58,  65,  71,  76,  82,  87,  88,  88,  86,  85
2020,14108020,108,HUM ,%     , 6, 9,  83,  85,  87,  90,  90,  88,  77,  69,  70,  64,  63,  61,  57,  55,  57,  60,  68,  73,  79,  79,  80,  80,  78,  81
2020,14108020,108,HUM ,%     , 6,10,  83,  82,  84,  84,  81,  80,  74,  72,  67,  65,  64,  66,  60,  55,  65,  68,  73,  79,  84,  84,  83,  85,  90,  90
2020,14108020,108,HUM ,%     , 6,11,  88,  89,  90,  94,  92,  89,  90,  83,  86,  80,  78,  78,  86,  89,  95,  96,  95,  97,  97,  97,  97,  96,  97,  97
2020,14108020,108,HUM ,%     , 6,12,  97,  97,  97,  97,  97,  97,  95,  87,  85,  85,  84,  82,  79,  78,  82,  83,  83,  87,  88,  90,  91,  91,  93,  93
2020,14108020,108,HUM ,%     , 6,13,  93,  95,  95,  95,  95,  96,  96,  91,  91,  93,  92,  94,  97,  97,  97,  97,  97,  97,  97,  97,  97,  97,  97,  97
2020,14108020,108,HUM ,%     , 6,14,  97,  97,  97,  97,  97,  97,  97,  97,  97,  97,  97,  97,  97,  97,  97,  97,  96,  96,  94,  92,  95,  95,  93,  95
2020,14108020,108,HUM ,%     , 6,15,  92,  88,  91,  95,  96,  95,  94,  85,  79,  75,  71,  73,  71,  74,  71,  75,  75,  80,  81,  85,  87,  88,  89,  89
2020,14108020,108,HUM ,%     , 6,16,  89,  86,  84,  83,  84,  84,  75,  73,  78,  76,  73,  74,  65,  60,  59,  67,  71,  69,  78,  79,  80,  75,  77,  76
2020,14108020,108,HUM ,%     , 6,17,  74,  73,  81,  82,  80,  74,  61,  57,  68,  69,  62,  62,  63,  66,  66,  61,  62,  73,  77,  81,  84,  84,  84,  83
2020,14108020,108,HUM ,%     , 6,18,  85,  88,  88,  90,  91,  93,  89,  88,  87,  82,  81,  83,  85,  83,  92,  92,  91,  89,  92,  95,  95,  96,  96,  96
2020,14108020,108,HUM ,%     , 6,19,  97,  97,  96,  97,  97,  97,  98,  98,  98,  98,  98,  98,  98,  98,  98,  97,  98,  98,  98,  98,  98,  98,  98,  98
2020,14108020,108,HUM ,%     , 6,20,  97,  97,  97,  96,  95,  95,  89,  77,  85,  80,  74,  71,  67,  67,  64,  69,  69,  77,  82,  81,  80,  82,  83,  85
2020,14108020,108,HUM ,%     , 6,21,  85,  86,  91,  92,  92,  94,  89,  90,  91,  91,  86,  81,  84,  89,  87,  84,  85,  83,  87,  88,  87,  87,  88,  89
2020,14108020,108,HUM ,%     , 6,22,  90,  91,  92,  92,  92,  90,  95,  97,  97,  96,  97,  97,  97,  97,  97,  97,  98,  98,  97,  97,  97,  96,  91,  90
2020,14108020,108,HUM ,%     , 6,23,  96,  96,  96,  96,  97,  97,  97,  95,  89,  90,  87,  82,  87,  69,  67,  73,  82,  86,  88,  92,  94,  95,  95,  96
2020,14108020,108,HUM ,%     , 6,24,  96,  96,  97,  97,  97,  96,  95,  95,  96,  96,  93,  88,  87,  85,  82,  84,  86,  89,  92,  92,  92,  95,  95,  95
2020,14108020,108,HUM ,%     , 6,25,  96,  97,  97,  97,  98,  98,  98,  98,  98,  98,  98,  98,  97,  97,  97,  96,  96,  97,  96,  97,  97,  97,  97,  97
2020,14108020,108,HUM ,%     , 6,26,  97,  97,  97,  97,  97,  97,  97,  97,  97,  96,  83,  82,  78,  78,  74,  74,  84,  84,  88,  88,  88,  90,  89,  91
2020,14108020,108,HUM ,%     , 6,27,  93,  92,  92,  91,  95,  95,  96,  95,  95,  94,  92,  91,  89,  86,  84,  84,  84,  82,  81,  82,  80,  82,  82,  82
2020,14108020,108,HUM ,%     , 6,28,  84,  89,  95,  97,  97,  97,  97,  97,  97,  97,  97,  98,  98,  97,  97,  97,  96,  96,  96,  96,  96,  96,  96,  96
2020,14108020,108,HUM ,%     , 6,29,  96,  96,  95,  97,  97,  96,  89,  79,  87,  83,  75,  72,  70,  72,  66,  73,  79,  86,  85,  90,  92,  95,  95,  95
2020,14108020,108,HUM ,%     , 6,30,  95,  95,  95,  96,  96,  92,  88,  86,  82,  90,  90,  85,  89,  93,  95,  97,  97,  97,  97,  97,  96,  96,  95,  95
2020,14108020,108,HUM ,%     , 6,31,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998
2020,14108020,108,HUM ,%     , 7, 1,  95,  97,  97,  96,  96,  96,  94,  92,  95,  96,  97,  96,  96,  97,  94,  93,  94,  96,  97,  97,  97,  96,  97,  97
2020,14108020,108,HUM ,%     , 7, 2,  97,  97,  97,  97,  96,  96,  90,  84,  81,  77,  67,  67,  65,  66,  61,  62,  67,  71,  77,  77,  76,  76,  79,  85
2020,14108020,108,HUM ,%     , 7, 3,  86,  85,  88,  89,  87,  86,  83,  87,  89,  87,  85,  86,  86,  85,  89,  90,  86,  90,  90,  91,  95,  97,  97,  97
2020,14108020,108,HUM ,%     , 7, 4,  97,  97,  98,  98,  98,  98,  98,  98,  97,  92,  91,  88,  82,  84,  83,  92,  91,  94,  92,  94,  96,  95,  95,  94
2020,14108020,108,HUM ,%     , 7, 5,  95,  95,  95,  94,  94,  92,  86,  87,  83,  85,  92,  97,  97,  96,  95,  92,  86,  85,  88,  89,  90,  87,  88,  95
2020,14108020,108,HUM ,%     , 7, 6,  97,  97,  97,  97,  96,  96,  97,  97,  97,  98,  96,  94,  90,  94,  93,  92,  92,  89,  90,  94,  94,  95,  94,  94
2020,14108020,108,HUM ,%     , 7, 7,  93,  92,  94,  94,  95,  96,  96,  95,  91,  92,  92,  89,  90,  89,  89,  89,  89,  91,  92,  94,  95,  94,  95,  95
2020,14108020,108,HUM ,%     , 7, 8,  95,  95,  96,  95,  96,  97,  95,  93,  89,  95,  93,  86,  87,  90,  94,  95,  92,  92,  94,  94,  91,  92,  96,  96
2020,14108020,108,HUM ,%     , 7, 9,  95,  96,  96,  95,  95,  96,  96,  97,  97,  96,  94,  84,  84,  87,  91,  91,  89,  94,  97,  97,  97,  97,  97,  97
2020,14108020,108,HUM ,%     , 7,10,  97,  97,  96,  96,  95,  96,  94,  92,  89,  88,  87,  84,  86,  91,  97,  96,  93,  95,  95,  96,  96,  96,  95,  96
2020,14108020,108,HUM ,%     , 7,11,  97,  96,  95,  95,  95,  94,  91,  90,  91,  89,  85,  83,  85,  89,  92,  97,  96,  96,  93,  93,  95,  94,  95,  97
2020,14108020,108,HUM ,%     , 7,12,  97,  96,  96,  97,  97,  96,  89,  85,  87,  82,  76,  74,  77,  73,  75,  81,  79,  82,  92,  93,  92,  90,  97,  97
2020,14108020,108,HUM ,%     , 7,13,  97,  96,  95,  95,  95,  93,  95,  93,  91,  91,  87,  87,  94,  92,  93,  96,  97,  97,  97,  97,  97,  97,  97,  97
2020,14108020,108,HUM ,%     , 7,14,  97,  97,  97,  97,  97,  98,  98,  97,  97,  97,  95,  92,  92,  88,  86,  84,  78,  82,  90,  95,  97,  97,  97,  97
2020,14108020,108,HUM ,%     , 7,15,  97,  97,  97,  96,  96,  96,  96,  95,  95,  91,  94,  94,  95,  96,  96,  96,  95,  95,  94,  96,  96,  96,  97,  97
2020,14108020,108,HUM ,%     , 7,16,  97,  98,  98,  97,  97,  97,  96,  96,  95,  92,  92,  90,  87,  82,  85,  88,  89,  89,  91,  92,  93,  94,  93,  92
2020,14108020,108,HUM ,%     , 7,17,  94,  96,  97,  97,  98,  98,  98,  98,  98,  98,  98,  98,  98,  98,  98,  98,  97,  98,  98,  98,  98,  98,  98,  98
2020,14108020,108,HUM ,%     , 7,18,  98,  98,  98,  98,  98,  98,  98,  98,  98,  98,  98,  98,  98,  98,  97,  97,  97,  97,  97,  97,  97,  97,  97,  97
2020,14108020,108,HUM ,%     , 7,19,  97,  97,  97,  97,  97,  97,  97,  97,  97,  90,  88,  86,  80,  79,  83,  86,  86,  89,  93,  95,  96,  96,  97,  97
2020,14108020,108,HUM ,%     , 7,20,  97,  97,  96,  96,  96,  96,  93,  84,  87,  86,  83,  83,  80,  73,  79,  86,  86,  88,  90,  91,  91,  91,  94,  94
2020,14108020,108,HUM ,%     , 7,21,  95,  95,  96,  96,  96,  96,  96,  96,  96,  96,  94,  90,  90,  81,  77,  78,  82,  86,  90,  93,  95,  96,  96,  96
2020,14108020,108,HUM ,%     , 7,22,  96,  96,  96,  96,  96,  95,  95,  94,  96,  97,  97,  97,  96,  91,  85,  86,  88,  90,  94,  91,  94,  92,  94,  93
2020,14108020,108,HUM ,%     , 7,23,  93,  94,  95,  94,  92,  92,  96,  97,  97,  96,  88,  87,  88,  90,  95,  96,  96,  96,  95,  96,  96,  96,  96,  96
2020,14108020,108,HUM ,%     , 7,24,  96,  96,  97,  97,  96,  96,  96,  95,  95,  94,  92,  91,  94,  91,  86,  89,  90,  94,  95,  95,  96,  96,  96,  96
2020,14108020,108,HUM ,%     , 7,25,  96,  96,  97,  98,  97,  97,  98,  98,  97,  97,  96,  97,  98,  97,  98,  97,  97,  97,  97,  97,  97,  97,  97,  97
2020,14108020,108,HUM ,%     , 7,26,  97,  97,  97,  98,  98,  98,  98,  98,  95,  95,  75,  82,  93,  96,  97,  93,  92,  95,  97,  97,  97,  97,  97,  97
2020,14108020,108,HUM ,%     , 7,27,  98,  97,  97,  97,  97,  96,  95,  91,  87,  86,  85,  86,  93,  90,  85,  86,  88,  88,  92,  89,  90,  96,  96,  96
2020,14108020,108,HUM ,%     , 7,28,  94,  96,  96,  96,  96,  96,  93,  92,  90,  91,  90,  87,  87,  87,  91,  93,  93,  92,  94,  92,  95,  96,  96,  96
2020,14108020,108,HUM ,%     , 7,29,  97,  97,  96,  96,  95,  96,  95,  95,  92,  92,  94,  93,  90,  89,  89,  86,  86,  87,  90,  93,  90,  91,  90,  95
2020,14108020,108,HUM ,%     , 7,30,  95,  95,  92,  95,  97,  96,  95,  92,  92,  94,  93,  95,  93,  91,  91,  93,  93,  91,  91,  95,  96,  96,  95,  95
2020,14108020,108,HUM ,%     , 7,31,  96,  97,  97,  97,  97,  97,  97,  97,  97,  96,  95,  91,  95,  83,  89,  85,  89,  87,  90,  90,  91,  95,  96,  95
2020,14108020,108,HUM ,%     , 8, 1,  95,  96,  96,  95,  91,  94,  96,  96,  85,  87,  80,  83,  80,  79,  76,  74,  77,  78,  80,  84,  83,  87,  86,  88
2020,14108020,108,HUM ,%     , 8, 2,  87,  88,  86,  89,  88,  89,  91,  86,  82,  80,  80,  75,  70,  65,  63,  64,  75,  79,  82,  88,  87,  89,  91,  93
2020,14108020,108,HUM ,%     , 8, 3,  95,  94,  95,  96,  96,  96,  93,  90,  86,  83,  79,  75,  71,  66,  63,  71,  76,  80,  88,  91,  93,  92,  94,  95
2020,14108020,108,HUM ,%     , 8, 4,  95,  96,  95,  96,  96,  94,  90,  85,  81,  78,  83,  81,  73,  72,  70,  71,  79,  83,  87,  90,  92,  92,  94,  95
2020,14108020,108,HUM ,%     , 8, 5,  95,  95,  95,  96,  96,  96,  95,  91,  91,  85,  84,  82,  80,  72,  72,  73,  81,  84,  90,  93,  94,  94,  95,  95
2020,14108020,108,HUM ,%     , 8, 6,  96,  96,  96,  96,  96,  96,  94,  87,  78,  75,  72,  70,  66,  69,  68,  72,  80,  84,  87,  89,  91,  90,  88,  88
2020,14108020,108,HUM ,%     , 8, 7,  87,  85,  86,  84,  85,  83,  84,  79,  75,  72,  70,  67,  67,  74,  69,  74,  76,  80,  82,  83,  83,  83,  85,  86
2020,14108020,108,HUM ,%     , 8, 8,  85,  85,  87,  88,  89,  91,  91,  89,  88,  87,  78,  77,  69,  66,  68,  69,  77,  81,  82,  83,  83,  85,  86,  86
2020,14108020,108,HUM ,%     , 8, 9,  86,  87,  86,  86,  83,  80,  80,  82,  75,  77,  74,  72,  71,  71,  74,  73,  72,  74,  76,  79,  81,  81,  81,  83
2020,14108020,108,HUM ,%     , 8,10,  84,  88,  87,  87,  89,  89,  84,  80,  81,  81,  79,  77,  70,  63,  67,  71,  71,  76,  81,  84,  82,  81,  81,  83
2020,14108020,108,HUM ,%     , 8,11,  85,  85,  88,  87,  87,  84,  81,  78,  73,  68,  70,  70,  69,  67,  67,  69,  78,  81,  82,  81,  82,  82,  83,  86
2020,14108020,108,HUM ,%     , 8,12,  87,  86,  86,  86,  87,  88,  85,  80,  75,  74,  78,  76,  70,  64,  63,  68,  75,  81,  82,  90,  87,  87,  86,  89
2020,14108020,108,HUM ,%     , 8,13,  91,  91,  89,  88,  87,  87,  83,  81,  79,  77,  77,  76,  74,  65,  66,  66,  76,  81,  84,  86,  86,  85,  87,  86
2020,14108020,108,HUM ,%     , 8,14,  85,  86,  89,  90,  88,  87,  82,  81,  78,  76,  77,  75,  76,  71,  75,  76,  78,  82,  88,  91,  93,  93,  91,  92
2020,14108020,108,HUM ,%     , 8,15,  94,  94,  95,  95,  94,  94,  92,  84,  82,  82,  80,  79,  74,  65,  59,  61,  72,  76,  84,  86,  87,  87,  88,  88
2020,14108020,108,HUM ,%     , 8,16,  88,  89,  91,  88,  90,  90,  87,  81,  82,  80,  80,  81,  80,  76,  77,  75,  79,  83,  87,  87,  87,  90,  92,  91
2020,14108020,108,HUM ,%     , 8,17,  93,  94,  94,  95,  96,  96,  93,  87,  82,  80,  82,  77,  70,  74,  70,  70,  81,  82,  88,  90,  91,  92,  93,  92
2020,14108020,108,HUM ,%     , 8,18,  92,  93,  94,  94,  93,  88,  89,  84,  85,  82,  82,  77,  77,  74,  68,  66,  72,  76,  76,  78,  82,  82,  83,  84
2020,14108020,108,HUM ,%     , 8,19,  87,  88,  90,  90,  91,  91,  91,  89,  84,  82,  77,  72,  69,  63,  61,  67,  66,  74,  83,  85,  89,  91,  92,  93
2020,14108020,108,HUM ,%     , 8,20,  93,  95,  96,  96,  96,  96,  92,  80,  80,  77,  75,  71,  65,  67,  66,  67,  74,  79,  85,  88,  90,  90,  92,  91
2020,14108020,108,HUM ,%     , 8,21,  92,  94,  95,  95,  94,  94,  88,  84,  83,  78,  79,  70,  68,  63,  64,  65,  76,  80,  81,  83,  86,  88,  88,  92
2020,14108020,108,HUM ,%     , 8,22,  91,  91,  89,  91,  92,  94,  88,  83,  79,  83,  82,  79,  75,  71,  71,  78,  80,  85,  88,  91,  92,  93,  89,  94
2020,14108020,108,HUM ,%     , 8,23,  92,  94,  92,  90,  88,  85,  85,  86,  90,  92,  90,  86,  86,  92,  87,  84,  86,  90,  90,  87,  90,  91,  90,  90
