,高濃度出現回数,高濃度追跡,高濃度追跡率,高濃度RMSE,lag,locate
benchmarklag=1,126,89,70.63492063492063,9.954984275677756,1,鴻巣
benchmarklag=2,126,54,42.85714285714285,15.99445503659616,2,鴻巣
benchmarklag=3,126,51,40.47619047619048,19.221904054849418,3,鴻巣
comprehensivelag=1,126,74,58.730158730158735,11.559242029239735,1,鴻巣
comprehensivelag=2,126,61,48.41269841269841,15.686442944953418,2,鴻巣
comprehensivelag=3,126,41,32.53968253968254,21.49181782118696,3,鴻巣
上位10個lag=1,126,63,50.0,12.9158871041346,1,鴻巣
上位10個lag=2,126,72,57.14285714285714,14.57635870506023,2,鴻巣
上位10個lag=3,126,66,52.38095238095239,20.84450729602979,3,鴻巣
上位20個lag=1,126,110,87.3015873015873,8.99523812231238,1,鴻巣
上位20個lag=2,126,55,43.65079365079365,16.24526685905076,2,鴻巣
上位20個lag=3,126,63,50.0,19.06239362069405,3,鴻巣
上位30個lag=1,126,97,76.98412698412699,9.04952335265358,1,鴻巣
上位30個lag=2,126,34,26.984126984126984,19.214393454268595,2,鴻巣
上位30個lag=3,126,33,26.190476190476197,23.732765775185072,3,鴻巣
下位上位20個lag=1,126,87,69.04761904761905,9.940890018367266,1,鴻巣
下位上位20個lag=2,126,39,30.952380952380956,19.89360061256805,2,鴻巣
下位上位20個lag=3,126,64,50.79365079365079,17.051758923135647,3,鴻巣
